"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"1","AR(1)",10,10,0.01,0.0569,0.0531,0.0634,0.1231,0.2264
"2","AR(1)",10,10,0.03,0.0732,0.0575,0.0698,0.1069,0.2605
"3","AR(1)",10,10,0.05,0.1222,0.0817,0.1004,0.0821,0.3314
"4","AR(1)",10,10,0.07,0.2009,0.127,0.1637,0.0543,0.4463
"5","AR(1)",10,10,0.1,0.3724,0.217,0.2846,0.0237,0.6391
"6","AR(1)",10,20,0.01,0.0664,0.0534,0.0645,0.116,0.2464
"7","AR(1)",10,20,0.03,0.1935,0.1063,0.1367,0.0594,0.4257
"8","AR(1)",10,20,0.05,0.4791,0.2139,0.2917,0.0144,0.7263
"9","AR(1)",10,20,0.07,0.7974,0.4224,0.5455,0.002,0.9276
"10","AR(1)",10,20,0.1,0.9866,0.7615,0.8788,0,0.9977
"11","AR(1)",10,30,0.01,0.0914,0.0632,0.0757,0.0953,0.2772
"12","AR(1)",10,30,0.03,0.4756,0.1886,0.2493,0.0122,0.7049
"13","AR(1)",10,30,0.05,0.9321,0.4956,0.6395,2e-04,0.9812
"14","AR(1)",10,30,0.07,0.9992,0.8368,0.9366,0,1
"15","AR(1)",10,30,0.1,1,0.9951,0.9996,0,1
"16","AR(1)",10,50,0.01,0.2016,0.0925,0.1217,0.0542,0.4348
"17","AR(1)",10,50,0.03,0.9886,0.5412,0.7057,1e-04,0.996
"18","AR(1)",10,50,0.05,1,0.9711,0.9966,0,1
"19","AR(1)",10,50,0.07,1,0.9999,1,0,1
"20","AR(1)",10,50,0.1,1,1,1,0,1
"21","AR(1)",20,10,0.01,0.0606,0.0544,0.0604,0.1128,0.2289
"22","AR(1)",20,10,0.03,0.1029,0.0773,0.0909,0.0931,0.2977
"23","AR(1)",20,10,0.05,0.2211,0.1392,0.1673,0.0504,0.4583
"24","AR(1)",20,10,0.07,0.4035,0.2588,0.302,0.0239,0.6521
"25","AR(1)",20,10,0.1,0.6968,0.4941,0.5581,0.0028,0.8773
