"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0531,0.0514,0.1312
"2","AR(1)",10,10,0.03,0.0504,0.052,0.1311
"3","AR(1)",10,10,0.05,0.0677,0.0571,0.1424
"4","AR(1)",10,10,0.07,0.1106,0.0786,0.1866
"5","AR(1)",10,10,0.1,0.3347,0.2015,0.3723
"6","AR(1)",10,20,0.01,0.0522,0.0492,0.1371
"7","AR(1)",10,20,0.03,0.0995,0.0721,0.1818
"8","AR(1)",10,20,0.05,0.4714,0.2341,0.4435
"9","AR(1)",10,20,0.07,0.982,0.7646,0.9208
"10","AR(1)",10,20,0.1,1,1,1
"11","AR(1)",10,30,0.01,0.055,0.049,0.1518
"12","AR(1)",10,30,0.03,0.3927,0.1661,0.3669
"13","AR(1)",10,30,0.05,0.9998,0.914,0.9857
"14","AR(1)",10,30,0.07,1,1,1
"15","AR(1)",10,30,0.1,1,1,1
"16","AR(1)",10,50,0.01,0.0777,0.0632,0.1862
"17","AR(1)",10,50,0.03,1,0.9488,0.9956
"18","AR(1)",10,50,0.05,1,1,1
"19","AR(1)",10,50,0.07,1,1,1
"20","AR(1)",10,50,0.1,1,1,1
"21","AR(1)",20,10,0.01,0.0518,0.0504,0.1019
"22","AR(1)",20,10,0.03,0.0503,0.0494,0.1056
"23","AR(1)",20,10,0.05,0.0842,0.0685,0.1295
"24","AR(1)",20,10,0.07,0.1875,0.1249,0.2145
"25","AR(1)",20,10,0.1,0.6477,0.4689,0.6069
"26","AR(1)",20,20,0.01,0.0538,0.0501,0.0984
"27","AR(1)",20,20,0.03,0.148,0.0982,0.1746
"28","AR(1)",20,20,0.05,0.8307,0.5644,0.7055
"29","AR(1)",20,20,0.07,1,0.9973,0.9995
"30","AR(1)",20,20,0.1,1,1,1
"31","AR(1)",20,30,0.01,0.0598,0.0509,0.1092
"32","AR(1)",20,30,0.03,0.7443,0.4034,0.5646
"33","AR(1)",20,30,0.05,1,1,1
"34","AR(1)",20,30,0.07,1,1,1
"35","AR(1)",20,30,0.1,1,1,1
"36","AR(1)",20,50,0.01,0.1261,0.0803,0.1567
"37","AR(1)",20,50,0.03,1,1,1
"38","AR(1)",20,50,0.05,1,1,1
"39","AR(1)",20,50,0.07,1,1,1
"40","AR(1)",20,50,0.1,1,1,1
"41","AR(1)",30,10,0.01,0.0471,0.0464,0.0858
"42","AR(1)",30,10,0.03,0.0558,0.0477,0.0905
"43","AR(1)",30,10,0.05,0.0962,0.079,0.132
"44","AR(1)",30,10,0.07,0.2749,0.1873,0.2738
"45","AR(1)",30,10,0.1,0.8409,0.7023,0.7932
"46","AR(1)",30,20,0.01,0.0532,0.0508,0.0865
"47","AR(1)",30,20,0.03,0.2107,0.1314,0.2012
"48","AR(1)",30,20,0.05,0.963,0.804,0.8764
"49","AR(1)",30,20,0.07,1,1,1
"50","AR(1)",30,20,0.1,1,1,1
"51","AR(1)",30,30,0.01,0.0614,0.0539,0.0919
"52","AR(1)",30,30,0.03,0.923,0.6459,0.7518
"53","AR(1)",30,30,0.05,1,1,1
"54","AR(1)",30,30,0.07,1,1,1
"55","AR(1)",30,30,0.1,1,1,1
"56","AR(1)",30,50,0.01,0.1789,0.0995,0.1668
"57","AR(1)",30,50,0.03,1,1,1
"58","AR(1)",30,50,0.05,1,1,1
"59","AR(1)",30,50,0.07,1,1,1
"60","AR(1)",30,50,0.1,1,1,1
"61","AR(1)",40,10,0.01,0.0513,0.0474,0.082
"62","AR(1)",40,10,0.03,0.0578,0.0506,0.0887
"63","AR(1)",40,10,0.05,0.1243,0.0947,0.1457
"64","AR(1)",40,10,0.07,0.3517,0.2513,0.3377
"65","AR(1)",40,10,0.1,0.9358,0.8486,0.8987
"66","AR(1)",40,20,0.01,0.055,0.0521,0.0828
"67","AR(1)",40,20,0.03,0.2851,0.1734,0.2411
"68","AR(1)",40,20,0.05,0.9928,0.9318,0.9587
"69","AR(1)",40,20,0.07,1,1,1
"70","AR(1)",40,20,0.1,1,1,1
"71","AR(1)",40,30,0.01,0.0594,0.0563,0.0881
"72","AR(1)",40,30,0.03,0.9827,0.819,0.8815
"73","AR(1)",40,30,0.05,1,1,1
"74","AR(1)",40,30,0.07,1,1,1
"75","AR(1)",40,30,0.1,1,1,1
"76","AR(1)",40,50,0.01,0.2179,0.1209,0.1724
"77","AR(1)",40,50,0.03,1,1,1
"78","AR(1)",40,50,0.05,1,1,1
"79","AR(1)",40,50,0.07,1,1,1
"80","AR(1)",40,50,0.1,1,1,1
"81","AR(1)",50,10,0.01,0.05,0.0512,0.0839
"82","AR(1)",50,10,0.03,0.0655,0.0577,0.0903
"83","AR(1)",50,10,0.05,0.1445,0.1093,0.1647
"84","AR(1)",50,10,0.07,0.4383,0.3131,0.407
"85","AR(1)",50,10,0.1,0.9732,0.9259,0.9531
"86","AR(1)",50,20,0.01,0.0549,0.0537,0.0787
"87","AR(1)",50,20,0.03,0.3429,0.2138,0.2769
"88","AR(1)",50,20,0.05,0.9983,0.9798,0.9876
"89","AR(1)",50,20,0.07,1,1,1
"90","AR(1)",50,20,0.1,1,1,1
"91","AR(1)",50,30,0.01,0.0724,0.0589,0.0893
"92","AR(1)",50,30,0.03,0.9952,0.9192,0.9489
"93","AR(1)",50,30,0.05,1,1,1
"94","AR(1)",50,30,0.07,1,1,1
"95","AR(1)",50,30,0.1,1,1,1
"96","AR(1)",50,50,0.01,0.2758,0.1455,0.1954
"97","AR(1)",50,50,0.03,1,1,1
"98","AR(1)",50,50,0.05,1,1,1
"99","AR(1)",50,50,0.07,1,1,1
"100","AR(1)",50,50,0.1,1,1,1
"101","AR(2)",10,10,0.01,0.0537,0.0434,0.2266
"102","AR(2)",10,10,0.03,0.0581,0.0476,0.2269
"103","AR(2)",10,10,0.05,0.0852,0.0645,0.2674
"104","AR(2)",10,10,0.07,0.1949,0.1212,0.3975
"105","AR(2)",10,10,0.1,0.6109,0.4302,0.7687
"106","AR(2)",10,20,0.01,0.0522,0.0417,0.2421
"107","AR(2)",10,20,0.03,0.1421,0.0798,0.3508
"108","AR(2)",10,20,0.05,0.6919,0.4623,0.8286
"109","AR(2)",10,20,0.07,0.9975,0.9712,0.9983
"110","AR(2)",10,20,0.1,1,1,1
"111","AR(2)",10,30,0.01,0.0582,0.0364,0.236
"112","AR(2)",10,30,0.03,0.524,0.2856,0.6972
"113","AR(2)",10,30,0.05,1,0.9944,0.9999
"114","AR(2)",10,30,0.07,1,1,1
"115","AR(2)",10,30,0.1,1,1,1
"116","AR(2)",10,50,0.01,0.0985,0.0507,0.2822
"117","AR(2)",10,50,0.03,0.9999,0.9903,1
"118","AR(2)",10,50,0.05,1,1,1
"119","AR(2)",10,50,0.07,1,1,1
"120","AR(2)",10,50,0.1,1,1,1
"121","AR(2)",20,10,0.01,0.0529,0.0383,0.1969
"122","AR(2)",20,10,0.03,0.0611,0.0451,0.2142
"123","AR(2)",20,10,0.05,0.1313,0.0896,0.2963
"124","AR(2)",20,10,0.07,0.362,0.2494,0.5485
"125","AR(2)",20,10,0.1,0.9248,0.8477,0.9656
"126","AR(2)",20,20,0.01,0.0521,0.0333,0.2049
"127","AR(2)",20,20,0.03,0.25,0.1431,0.441
"128","AR(2)",20,20,0.05,0.957,0.8841,0.9819
"129","AR(2)",20,20,0.07,1,1,1
"130","AR(2)",20,20,0.1,1,1,1
"131","AR(2)",20,30,0.01,0.0637,0.0358,0.2084
"132","AR(2)",20,30,0.03,0.8625,0.7028,0.9271
"133","AR(2)",20,30,0.05,1,1,1
"134","AR(2)",20,30,0.07,1,1,1
"135","AR(2)",20,30,0.1,1,1,1
"136","AR(2)",20,50,0.01,0.1559,0.0661,0.3058
"137","AR(2)",20,50,0.03,1,1,1
"138","AR(2)",20,50,0.05,1,1,1
"139","AR(2)",20,50,0.07,1,1,1
"140","AR(2)",20,50,0.1,1,1,1
"141","AR(2)",30,10,0.01,0.0464,0.0379,0.1854
"142","AR(2)",30,10,0.03,0.0676,0.0505,0.2093
"143","AR(2)",30,10,0.05,0.1726,0.1182,0.3494
"144","AR(2)",30,10,0.07,0.5297,0.3983,0.7019
"145","AR(2)",30,10,0.1,0.9882,0.9751,0.9962
"146","AR(2)",30,20,0.01,0.0568,0.0358,0.1983
"147","AR(2)",30,20,0.03,0.368,0.2283,0.5468
"148","AR(2)",30,20,0.05,0.997,0.9892,0.9992
"149","AR(2)",30,20,0.07,1,1,1
"150","AR(2)",30,20,0.1,1,1,1
