"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified"
"1","AR(1)",10,10,0.01,0.0504,0.0491,0.0595
"2","AR(1)",10,10,0.2575,0.0692,0.0627,0.0793
"3","AR(1)",10,10,0.505,0.1282,0.1084,0.1471
"4","AR(1)",10,10,0.7525,0.2451,0.2134,0.2989
"5","AR(1)",10,10,1,0.4479,0.3829,0.5323
"6","AR(1)",10,20,0.01,0.05,0.0485,0.0576
"7","AR(1)",10,20,0.2575,0.0577,0.0583,0.0695
"8","AR(1)",10,20,0.505,0.0945,0.0837,0.1106
"9","AR(1)",10,20,0.7525,0.1685,0.1566,0.2318
"10","AR(1)",10,20,1,0.2801,0.2856,0.428
"11","AR(1)",10,30,0.01,0.0537,0.051,0.0603
"12","AR(1)",10,30,0.2575,0.0575,0.056,0.0679
"13","AR(1)",10,30,0.505,0.0825,0.0771,0.0986
"14","AR(1)",10,30,0.7525,0.1324,0.1282,0.1941
"15","AR(1)",10,30,1,0.2251,0.2413,0.3752
"16","AR(1)",10,50,0.01,0.0543,0.0522,0.0619
"17","AR(1)",10,50,0.2575,0.057,0.0585,0.0672
"18","AR(1)",10,50,0.505,0.0733,0.0733,0.0951
"19","AR(1)",10,50,0.7525,0.1096,0.1106,0.1664
"20","AR(1)",10,50,1,0.1668,0.2067,0.3243
"21","AR(1)",20,10,0.01,0.0506,0.0489,0.0531
"22","AR(1)",20,10,0.2575,0.0808,0.0783,0.0933
"23","AR(1)",20,10,0.505,0.2291,0.2442,0.3015
"24","AR(1)",20,10,0.7525,0.5442,0.578,0.6697
"25","AR(1)",20,10,1,0.853,0.8739,0.9264
"26","AR(1)",20,20,0.01,0.0551,0.0516,0.0575
"27","AR(1)",20,20,0.2575,0.0748,0.0674,0.0809
"28","AR(1)",20,20,0.505,0.1472,0.182,0.2286
"29","AR(1)",20,20,0.7525,0.3536,0.4928,0.5818
"30","AR(1)",20,20,1,0.658,0.8034,0.8793
"31","AR(1)",20,30,0.01,0.0549,0.0504,0.0535
"32","AR(1)",20,30,0.2575,0.0664,0.0634,0.0726
"33","AR(1)",20,30,0.505,0.1254,0.1598,0.2053
"34","AR(1)",20,30,0.7525,0.2821,0.4373,0.5317
"35","AR(1)",20,30,1,0.5393,0.7693,0.8573
"36","AR(1)",20,50,0.01,0.0491,0.0516,0.0556
"37","AR(1)",20,50,0.2575,0.0648,0.0588,0.0696
"38","AR(1)",20,50,0.505,0.0977,0.1375,0.1714
"39","AR(1)",20,50,0.7525,0.2029,0.3803,0.4761
"40","AR(1)",20,50,1,0.3995,0.7263,0.8285
"41","AR(1)",30,10,0.01,0.0567,0.0501,0.0543
"42","AR(1)",30,10,0.2575,0.1059,0.1057,0.1248
"43","AR(1)",30,10,0.505,0.368,0.4197,0.4835
"44","AR(1)",30,10,0.7525,0.78,0.8376,0.8854
"45","AR(1)",30,10,1,0.9777,0.9864,0.9935
"46","AR(1)",30,20,0.01,0.0505,0.0509,0.0545
"47","AR(1)",30,20,0.2575,0.0768,0.0833,0.0965
"48","AR(1)",30,20,0.505,0.2271,0.3394,0.3936
"49","AR(1)",30,20,0.7525,0.5656,0.7713,0.8261
"50","AR(1)",30,20,1,0.898,0.9719,0.9856
"51","AR(1)",30,30,0.01,0.0541,0.0489,0.053
"52","AR(1)",30,30,0.2575,0.0764,0.0751,0.084
"53","AR(1)",30,30,0.505,0.1806,0.2935,0.3471
"54","AR(1)",30,30,0.7525,0.4488,0.7359,0.7992
"55","AR(1)",30,30,1,0.8017,0.9649,0.9834
"56","AR(1)",30,50,0.01,0.0532,0.0508,0.0538
"57","AR(1)",30,50,0.2575,0.0681,0.0727,0.0809
"58","AR(1)",30,50,0.505,0.1359,0.258,0.307
"59","AR(1)",30,50,0.7525,0.3295,0.6835,0.7532
"60","AR(1)",30,50,1,0.6483,0.9514,0.9742
"61","AR(1)",40,10,0.01,0.0529,0.0469,0.0489
"62","AR(1)",40,10,0.2575,0.1361,0.1382,0.1598
"63","AR(1)",40,10,0.505,0.4903,0.575,0.6312
"64","AR(1)",40,10,0.7525,0.91,0.9449,0.9635
"65","AR(1)",40,10,1,0.9973,0.9987,0.9994
"66","AR(1)",40,20,0.01,0.0542,0.0517,0.0534
"67","AR(1)",40,20,0.2575,0.0928,0.1048,0.1199
"68","AR(1)",40,20,0.505,0.3244,0.5004,0.5553
"69","AR(1)",40,20,0.7525,0.7461,0.9192,0.9435
"70","AR(1)",40,20,1,0.9742,0.9973,0.9985
"71","AR(1)",40,30,0.01,0.053,0.0479,0.052
"72","AR(1)",40,30,0.2575,0.0839,0.0966,0.1079
"73","AR(1)",40,30,0.505,0.2482,0.4642,0.5123
"74","AR(1)",40,30,0.7525,0.627,0.8997,0.9285
"75","AR(1)",40,30,1,0.9411,0.997,0.9993
"76","AR(1)",40,50,0.01,0.0519,0.0514,0.0563
"77","AR(1)",40,50,0.2575,0.0782,0.0906,0.0972
"78","AR(1)",40,50,0.505,0.1832,0.4112,0.4641
"79","AR(1)",40,50,0.7525,0.4681,0.877,0.9093
"80","AR(1)",40,50,1,0.8433,0.9948,0.9979
"81","AR(1)",50,10,0.01,0.0469,0.043,0.0474
"82","AR(1)",50,10,0.2575,0.1661,0.1805,0.2073
"83","AR(1)",50,10,0.505,0.621,0.7196,0.7612
"84","AR(1)",50,10,0.7525,0.9724,0.9874,0.9919
"85","AR(1)",50,10,1,0.9999,0.9999,1
"86","AR(1)",50,20,0.01,0.0499,0.0488,0.0503
"87","AR(1)",50,20,0.2575,0.1127,0.1402,0.1549
"88","AR(1)",50,20,0.505,0.4135,0.6534,0.6979
"89","AR(1)",50,20,0.7525,0.8771,0.9758,0.9841
"90","AR(1)",50,20,1,0.9975,0.9999,0.9999
"91","AR(1)",50,30,0.01,0.0478,0.0475,0.0483
"92","AR(1)",50,30,0.2575,0.1003,0.1229,0.1391
"93","AR(1)",50,30,0.505,0.3193,0.6011,0.6465
"94","AR(1)",50,30,0.7525,0.7716,0.9694,0.9796
"95","AR(1)",50,30,1,0.9869,0.9998,1
"96","AR(1)",50,50,0.01,0.0529,0.0539,0.0558
"97","AR(1)",50,50,0.2575,0.0923,0.1029,0.1128
"98","AR(1)",50,50,0.505,0.236,0.5579,0.6022
"99","AR(1)",50,50,0.7525,0.6159,0.9581,0.972
"100","AR(1)",50,50,1,0.9421,0.9997,0.9998
"101","AR(2)",10,10,0.01,0.0516,0.0443,0.0538
"102","AR(2)",10,10,0.2575,0.0977,0.0838,0.1247
"103","AR(2)",10,10,0.505,0.262,0.2411,0.3847
"104","AR(2)",10,10,0.7525,0.6121,0.5583,0.7643
"105","AR(2)",10,10,1,0.9054,0.8497,0.9602
"106","AR(2)",10,20,0.01,0.0515,0.039,0.0454
"107","AR(2)",10,20,0.2575,0.0661,0.0614,0.0924
"108","AR(2)",10,20,0.505,0.1422,0.1753,0.3305
"109","AR(2)",10,20,0.7525,0.3525,0.468,0.7269
"110","AR(2)",10,20,1,0.6707,0.7805,0.9488
"111","AR(2)",10,30,0.01,0.0524,0.0353,0.0434
"112","AR(2)",10,30,0.2575,0.0616,0.0461,0.0737
"113","AR(2)",10,30,0.505,0.1051,0.1406,0.2889
"114","AR(2)",10,30,0.7525,0.2223,0.418,0.686
"115","AR(2)",10,30,1,0.4644,0.7412,0.9363
"116","AR(2)",10,50,0.01,0.0546,0.0328,0.0392
"117","AR(2)",10,50,0.2575,0.0609,0.0426,0.0641
"118","AR(2)",10,50,0.505,0.0826,0.1189,0.2604
"119","AR(2)",10,50,0.7525,0.1378,0.3511,0.6438
"120","AR(2)",10,50,1,0.2464,0.6608,0.9165
"121","AR(2)",20,10,0.01,0.05,0.0392,0.0431
"122","AR(2)",20,10,0.2575,0.1227,0.1408,0.2048
"123","AR(2)",20,10,0.505,0.5671,0.6505,0.7794
"124","AR(2)",20,10,0.7525,0.9671,0.9753,0.9948
"125","AR(2)",20,10,1,0.9997,0.9999,1
"126","AR(2)",20,20,0.01,0.0495,0.0369,0.039
"127","AR(2)",20,20,0.2575,0.0861,0.1171,0.1803
"128","AR(2)",20,20,0.505,0.2831,0.5873,0.7515
"129","AR(2)",20,20,0.7525,0.7697,0.9588,0.9918
"130","AR(2)",20,20,1,0.9902,0.9997,1
"131","AR(2)",20,30,0.01,0.0512,0.0303,0.0337
"132","AR(2)",20,30,0.2575,0.0761,0.097,0.1582
"133","AR(2)",20,30,0.505,0.1719,0.5286,0.7228
"134","AR(2)",20,30,0.7525,0.5233,0.9537,0.9897
"135","AR(2)",20,30,1,0.9187,0.9997,1
"136","AR(2)",20,50,0.01,0.0519,0.0258,0.029
"137","AR(2)",20,50,0.2575,0.0613,0.074,0.1336
"138","AR(2)",20,50,0.505,0.1054,0.4805,0.6814
"139","AR(2)",20,50,0.7525,0.2522,0.9298,0.9837
"140","AR(2)",20,50,1,0.6068,0.9981,0.9999
"141","AR(2)",30,10,0.01,0.0511,0.0413,0.0445
"142","AR(2)",30,10,0.2575,0.1824,0.2479,0.3364
"143","AR(2)",30,10,0.505,0.8243,0.8939,0.9474
"144","AR(2)",30,10,0.7525,0.9995,0.9995,1
"145","AR(2)",30,10,1,1,1,1
"146","AR(2)",30,20,0.01,0.051,0.0317,0.0336
"147","AR(2)",30,20,0.2575,0.1038,0.204,0.3013
"148","AR(2)",30,20,0.505,0.4785,0.8675,0.9414
"149","AR(2)",30,20,0.7525,0.9751,0.9995,1
"150","AR(2)",30,20,1,1,1,1
"151","AR(2)",30,30,0.01,0.0506,0.0275,0.0292
"152","AR(2)",30,30,0.2575,0.0785,0.1667,0.2691
"153","AR(2)",30,30,0.505,0.289,0.8471,0.9298
"154","AR(2)",30,30,0.7525,0.8449,0.999,0.9999
"155","AR(2)",30,30,1,0.9984,1,1
"156","AR(2)",30,50,0.01,0.0534,0.0247,0.0255
"157","AR(2)",30,50,0.2575,0.0655,0.1389,0.2363
"158","AR(2)",30,50,0.505,0.1396,0.8065,0.9125
"159","AR(2)",30,50,0.7525,0.4568,0.997,0.9997
"160","AR(2)",30,50,1,0.9247,1,1
