"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"2","Unstructured",1,5,0.05,0.059
"3","Unstructured",1,6,0.0484,0.0515
"4","Unstructured",1,7,0.0498,0.0517
"5","Unstructured",1,8,0.0526,0.051
"6","Unstructured",1,9,0.0524,0.0449
"7","Unstructured",1,10,0.0494,0.0508
"8","Unstructured",1,11,0.0489,0.0494
"9","Unstructured",1,21,0.0521,0.0461
"10","Unstructured",1,31,0.0556,0.0478
"11","Unstructured",1,41,0.0494,0.0467
"12","Unstructured",1,51,0.0533,0.0471
"13","Unstructured",1,61,0.05,0.0466
"14","Unstructured",1,71,0.0481,0.0457
"15","Unstructured",1,81,0.0534,0.0458
"16","Unstructured",1,91,0.0485,0.0466
"17","Unstructured",2,5,0.0507,0.0545
"18","Unstructured",2,6,0.0457,0.0552
"19","Unstructured",2,7,0.0498,0.0538
"20","Unstructured",2,8,0.0535,0.0504
"21","Unstructured",2,9,0.051,0.0494
"22","Unstructured",2,10,0.0573,0.0497
"23","Unstructured",2,11,0.0534,0.0496
"24","Unstructured",2,21,0.0541,0.049
"25","Unstructured",2,31,0.051,0.0458
"26","Unstructured",2,41,0.0531,0.0526
"27","Unstructured",2,51,0.0523,0.0509
"28","Unstructured",2,61,0.0547,0.0484
"29","Unstructured",2,71,0.0533,0.0492
"30","Unstructured",2,81,0.0545,0.0461
"31","Unstructured",2,91,0.0574,0.0538
"32","Unstructured",3,5,0.0497,0.0533
"33","Unstructured",3,6,0.0538,0.055
"34","Unstructured",3,7,0.0514,0.0576
"35","Unstructured",3,8,0.0515,0.0496
"36","Unstructured",3,9,0.0492,0.048
"37","Unstructured",3,10,0.054,0.0465
"38","Unstructured",3,11,0.0486,0.0476
"39","Unstructured",3,21,0.0542,0.0488
"40","Unstructured",3,31,0.0522,0.0514
"41","Unstructured",3,41,0.0516,0.0513
"42","Unstructured",3,51,0.0546,0.0501
"43","Unstructured",3,61,0.0557,0.0525
"44","Unstructured",3,71,0.0594,0.0541
"45","Unstructured",3,81,0.0556,0.0587
"46","Unstructured",3,91,0.0612,0.0616
"47","AR(1)",1,5,0.0602,0.0599
"48","AR(1)",1,6,0.0602,0.0581
"49","AR(1)",1,7,0.0634,0.0604
"50","AR(1)",1,8,0.0707,0.0621
"51","AR(1)",1,9,0.0694,0.0579
"52","AR(1)",1,10,0.0717,0.0658
"53","AR(1)",1,11,0.0731,0.069
"54","AR(1)",1,21,0.0929,0.1032
"55","AR(1)",1,31,0.128,0.1709
"56","AR(1)",1,41,0.1639,0.2446
"57","AR(1)",1,51,0.2021,0.3284
"58","AR(1)",1,61,0.2394,0.413
"59","AR(1)",1,71,0.2815,0.4998
"60","AR(1)",1,81,0.3338,0.5685
"61","AR(1)",1,91,0.3903,0.652
"62","AR(1)",2,5,0.09,0.0734
"63","AR(1)",2,6,0.1004,0.0836
"64","AR(1)",2,7,0.1141,0.1004
"65","AR(1)",2,8,0.1255,0.1046
"66","AR(1)",2,9,0.1391,0.1321
"67","AR(1)",2,10,0.1534,0.1517
"68","AR(1)",2,11,0.1678,0.1727
"69","AR(1)",2,21,0.3341,0.4927
"70","AR(1)",2,31,0.5447,0.7644
"71","AR(1)",2,41,0.731,0.9141
"72","AR(1)",2,51,0.8574,0.9707
"73","AR(1)",2,61,0.9367,0.9921
"74","AR(1)",2,71,0.9746,0.998
"75","AR(1)",2,81,0.989,0.9998
"76","AR(1)",2,91,0.9959,0.9998
"77","AR(1)",3,5,0.148,0.1126
"78","AR(1)",3,6,0.1894,0.1439
"79","AR(1)",3,7,0.2295,0.1932
"80","AR(1)",3,8,0.2695,0.2484
"81","AR(1)",3,9,0.3113,0.3047
"82","AR(1)",3,10,0.354,0.3705
"83","AR(1)",3,11,0.4056,0.4424
"84","AR(1)",3,21,0.7932,0.9179
"85","AR(1)",3,31,0.9678,0.9935
"86","AR(1)",3,41,0.9961,0.9998
"87","AR(1)",3,51,0.9999,1
"88","AR(1)",3,61,1,1
"89","AR(1)",3,71,1,1
"90","AR(1)",3,81,1,1
"91","AR(1)",3,91,1,1
"92","AR(2)",1,5,0.0586,0.0556
"93","AR(2)",1,6,0.0773,0.0611
"94","AR(2)",1,7,0.0808,0.0778
"95","AR(2)",1,8,0.0918,0.0812
"96","AR(2)",1,9,0.0854,0.0829
"97","AR(2)",1,10,0.0915,0.0986
"98","AR(2)",1,11,0.0923,0.1103
"99","AR(2)",1,21,0.1497,0.3371
"100","AR(2)",1,31,0.2094,0.5827
"101","AR(2)",1,41,0.3011,0.781
"102","AR(2)",1,51,0.3977,0.8863
"103","AR(2)",1,61,0.5351,0.9527
"104","AR(2)",1,71,0.6708,0.9836
"105","AR(2)",1,81,0.7914,0.9942
"106","AR(2)",1,91,0.8855,0.9983
"107","AR(2)",2,5,0.1604,0.1263
"108","AR(2)",2,6,0.1841,0.1797
"109","AR(2)",2,7,0.2166,0.2426
"110","AR(2)",2,8,0.2579,0.3188
"111","AR(2)",2,9,0.2931,0.4127
"112","AR(2)",2,10,0.3452,0.5128
"113","AR(2)",2,11,0.3868,0.5839
"114","AR(2)",2,21,0.7983,0.979
"115","AR(2)",2,31,0.9792,0.9998
"116","AR(2)",2,41,1,1
"117","AR(2)",2,51,1,1
"118","AR(2)",2,61,1,1
"119","AR(2)",2,71,1,1
"120","AR(2)",2,81,1,1
"121","AR(2)",2,91,1,1
"122","AR(2)",3,5,0.3781,0.2583
"123","AR(2)",3,6,0.4801,0.4044
"124","AR(2)",3,7,0.5801,0.5702
"125","AR(2)",3,8,0.6759,0.7167
