"","covariance_structures","dimensions","sample_sizes","power_global","power_max"
"2","Unstructured",2,3,0,0.114
"3","Unstructured",2,4,0.032,0.074
"4","Unstructured",2,5,0.06,0.065
"5","Unstructured",2,6,0.075,0.053
"6","Unstructured",2,7,0.105,0.064
"7","Unstructured",2,8,0.088,0.059
"8","Unstructured",2,9,0.103,0.069
"9","Unstructured",2,10,0.118,0.071
"10","Unstructured",2,11,0.122,0.081
"11","Unstructured",2,21,0.173,0.135
"12","Unstructured",2,31,0.222,0.165
"13","Unstructured",2,41,0.257,0.207
"14","Unstructured",2,51,0.302,0.242
"15","Unstructured",2,61,0.321,0.262
"16","Unstructured",2,71,0.369,0.307
"17","Unstructured",2,81,0.378,0.312
"18","Unstructured",2,91,0.416,0.334
"19","Unstructured",3,3,0,0.185
"20","Unstructured",3,4,0.03,0.078
"21","Unstructured",3,5,0.055,0.064
"22","Unstructured",3,6,0.059,0.062
"23","Unstructured",3,7,0.055,0.054
"24","Unstructured",3,8,0.051,0.059
"25","Unstructured",3,9,0.053,0.054
"26","Unstructured",3,10,0.049,0.06
"27","Unstructured",3,11,0.052,0.066
"28","Unstructured",3,21,0.073,0.094
"29","Unstructured",3,31,0.097,0.135
"30","Unstructured",3,41,0.098,0.158
"31","Unstructured",3,51,0.114,0.212
"32","Unstructured",3,61,0.131,0.242
"33","Unstructured",3,71,0.136,0.232
"34","Unstructured",3,81,0.123,0.27
"35","Unstructured",3,91,0.178,0.329
"36","Unstructured",4,3,0,0.222
"37","Unstructured",4,4,0.037,0.084
"38","Unstructured",4,5,0.041,0.038
"39","Unstructured",4,6,0.047,0.058
"40","Unstructured",4,7,0.05,0.056
"41","Unstructured",4,8,0.053,0.044
"42","Unstructured",4,9,0.049,0.045
"43","Unstructured",4,10,0.055,0.057
"44","Unstructured",4,11,0.052,0.054
"45","Unstructured",4,21,0.056,0.072
"46","Unstructured",4,31,0.075,0.085
"47","Unstructured",4,41,0.065,0.089
"48","Unstructured",4,51,0.084,0.141
"49","Unstructured",4,61,0.08,0.128
"50","Unstructured",4,71,0.095,0.173
"51","Unstructured",4,81,0.101,0.176
"52","Unstructured",4,91,0.113,0.186
"53","Unstructured",5,3,0,0.233
"54","Unstructured",5,4,0.021,0.077
"55","Unstructured",5,5,0.052,0.058
"56","Unstructured",5,6,0.058,0.041
"57","Unstructured",5,7,0.05,0.053
"58","Unstructured",5,8,0.05,0.046
"59","Unstructured",5,9,0.054,0.044
"60","Unstructured",5,10,0.049,0.041
"61","Unstructured",5,11,0.049,0.046
"62","Unstructured",5,21,0.06,0.054
"63","Unstructured",5,31,0.052,0.065
"64","Unstructured",5,41,0.061,0.088
"65","Unstructured",5,51,0.069,0.102
"66","Unstructured",5,61,0.06,0.109
"67","Unstructured",5,71,0.062,0.095
"68","Unstructured",5,81,0.089,0.123
"69","Unstructured",5,91,0.073,0.122
"70","Unstructured",6,3,0,0.285
"71","Unstructured",6,4,0.032,0.082
"72","Unstructured",6,5,0.05,0.045
"73","Unstructured",6,6,0.038,0.04
"74","Unstructured",6,7,0.057,0.054
"75","Unstructured",6,8,0.043,0.047
"76","Unstructured",6,9,0.05,0.042
"77","Unstructured",6,10,0.063,0.042
"78","Unstructured",6,11,0.05,0.041
"79","Unstructured",6,21,0.054,0.042
"80","Unstructured",6,31,0.047,0.05
"81","Unstructured",6,41,0.06,0.073
"82","Unstructured",6,51,0.064,0.075
"83","Unstructured",6,61,0.061,0.069
"84","Unstructured",6,71,0.064,0.073
"85","Unstructured",6,81,0.053,0.078
"86","Unstructured",6,91,0.059,0.096
"87","Unstructured",7,3,0,0.327
"88","Unstructured",7,4,0.034,0.073
