"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"2","Unstructured",0,3,"0","0.628"
"3","Unstructured",0,4,"0.037","0.057"
"4","Unstructured",0,5,"0.056","0.066"
"5","Unstructured",0,6,"0.054","0.042"
"6","Unstructured",0,7,"0.053","0.06"
"7","Unstructured",0,8,"0.055","0.055"
"8","Unstructured",0,9,"0.054","0.045"
"9","Unstructured",0,10,"0.051","0.051"
"10","Unstructured",0,11,"0.066","0.055"
"11","Unstructured",0,21,"0.058","0.048"
"12","Unstructured",0,31,"0.043","0.043"
"13","Unstructured",0,41,"0.047","0.055"
"14","Unstructured",0,51,"0.061","0.043"
"15","Unstructured",0,61,"0.054","0.052"
"16","Unstructured",0,71,"0.043","0.046"
"17","Unstructured",0,81,"0.061","0.048"
"18","Unstructured",0,91,"0.055","0.056"
"19","Unstructured",0.1,3,"0","0.623"
"20","Unstructured",0.1,4,"0.031","0.058"
"21","Unstructured",0.1,5,"0.054","0.057"
"22","Unstructured",0.1,6,"0.045","0.047"
"23","Unstructured",0.1,7,"0.046","0.067"
"24","Unstructured",0.1,8,"0.058","0.048"
"25","Unstructured",0.1,9,"0.054","0.055"
"26","Unstructured",0.1,10,"0.048","0.045"
"27","Unstructured",0.1,11,"0.055","0.042"
"28","Unstructured",0.1,21,"0.056","0.049"
"29","Unstructured",0.1,31,"0.056","0.057"
"30","Unstructured",0.1,41,"0.052","0.045"
"31","Unstructured",0.1,51,"0.066","0.051"
"32","Unstructured",0.1,61,"0.052","0.039"
"33","Unstructured",0.1,71,"0.05","0.061"
"34","Unstructured",0.1,81,"0.058","0.058"
"35","Unstructured",0.1,91,"0.056","0.057"
"36","Unstructured",0.2,3,"0","0.636"
"37","Unstructured",0.2,4,"0.029","0.064"
"38","Unstructured",0.2,5,"0.042","0.061"
"39","Unstructured",0.2,6,"0.056","0.064"
"40","Unstructured",0.2,7,"0.046","0.048"
"41","Unstructured",0.2,8,"0.062","0.054"
"42","Unstructured",0.2,9,"0.033","0.044"
"43","Unstructured",0.2,10,"0.046","0.056"
"44","Unstructured",0.2,11,"0.045","0.049"
"45","Unstructured",0.2,21,"0.067","0.051"
"46","Unstructured",0.2,31,"0.046","0.05"
"47","Unstructured",0.2,41,"0.05","0.043"
"48","Unstructured",0.2,51,"0.068","0.06"
"49","Unstructured",0.2,61,"0.051","0.046"
"50","Unstructured",0.2,71,"0.068","0.058"
"51","Unstructured",0.2,81,"0.056","0.044"
"52","Unstructured",0.2,91,"0.054","0.055"
"53","Unstructured",0.3,3,"0","0.64"
"54","Unstructured",0.3,4,"0.039","0.046"
"55","Unstructured",0.3,5,"0.041","0.043"
"56","Unstructured",0.3,6,"0.047","0.044"
"57","Unstructured",0.3,7,"0.05","0.056"
"58","Unstructured",0.3,8,"0.052","0.053"
"59","Unstructured",0.3,9,"0.048","0.037"
"60","Unstructured",0.3,10,"0.049","0.048"
"61","Unstructured",0.3,11,"0.06","0.063"
"62","Unstructured",0.3,21,"0.054","0.039"
"63","Unstructured",0.3,31,"0.042","0.045"
"64","Unstructured",0.3,41,"0.04","0.035"
"65","Unstructured",0.3,51,"0.046","0.04"
"66","Unstructured",0.3,61,"0.054","0.048"
"67","Unstructured",0.3,71,"0.062","0.057"
"68","Unstructured",0.3,81,"0.057","0.055"
"69","Unstructured",0.3,91,"0.05","0.046"
"70","Unstructured",0.4,3,"0","0.63"
"71","Unstructured",0.4,4,"0.039","0.061"
"72","Unstructured",0.4,5,"0.048","0.054"
"73","Unstructured",0.4,6,"0.045","0.048"
"74","Unstructured",0.4,7,"0.052","0.041"
"75","Unstructured",0.4,8,"0.048","0.044"
"76","Unstructured",0.4,9,"0.044","0.053"
"77","Unstructured",0.4,10,"0.056","0.061"
"78","Unstructured",0.4,11,"0.055","0.047"
"79","Unstructured",0.4,21,"0.054","0.035"
"80","Unstructured",0.4,31,"0.045","0.04"
"81","Unstructured",0.4,41,"0.061","0.055"
"82","Unstructured",0.4,51,"0.048","0.05"
"83","Unstructured",0.4,61,"0.058","0.069"
"84","Unstructured",0.4,71,"0.062","0.055"
"85","Unstructured",0.4,81,"0.043","0.049"
"86","Unstructured",0.4,91,"0.036","0.047"
"87","Unstructured",0.5,3,"0","0.61"
"88","Unstructured",0.5,4,"0.041","0.067"
"89","Unstructured",0.5,5,"0.043","0.064"
"90","Unstructured",0.5,6,"0.042","0.064"
"91","Unstructured",0.5,7,"0.056","0.047"
"92","Unstructured",0.5,8,"0.048","0.047"
"93","Unstructured",0.5,9,"0.064","0.037"
"94","Unstructured",0.5,10,"0.051","0.055"
"95","Unstructured",0.5,11,"0.051","0.05"
"96","Unstructured",0.5,21,"0.061","0.055"
"97","Unstructured",0.5,31,"0.055","0.042"
"98","Unstructured",0.5,41,"0.041","0.046"
"99","Unstructured",0.5,51,"0.035","0.031"
