"","covariance_structures","variances","sample_sizes","power_global","power_max"
"2","Unstructured",0,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"3","Unstructured",0,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"4","Unstructured",0,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"5","Unstructured",0,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"6","Unstructured",0,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"7","Unstructured",0,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"8","Unstructured",0,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"9","Unstructured",0,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"10","Unstructured",0,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"11","Unstructured",0,21,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"12","Unstructured",0,31,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"13","Unstructured",0,41,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"14","Unstructured",0,51,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"15","Unstructured",0,61,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"16","Unstructured",0,71,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"17","Unstructured",0,81,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"18","Unstructured",0,91,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"19","Unstructured",1,3,"0","0.647"
"20","Unstructured",1,4,"0.045","0.064"
"21","Unstructured",1,5,"0.075","0.072"
"22","Unstructured",1,6,"0.068","0.061"
"23","Unstructured",1,7,"0.068","0.07"
"24","Unstructured",1,8,"0.071","0.077"
"25","Unstructured",1,9,"0.083","0.068"
"26","Unstructured",1,10,"0.09","0.077"
"27","Unstructured",1,11,"0.096","0.094"
"28","Unstructured",1,21,"0.111","0.204"
"29","Unstructured",1,31,"0.15","0.362"
"30","Unstructured",1,41,"0.23","0.508"
"31","Unstructured",1,51,"0.271","0.603"
"32","Unstructured",1,61,"0.324","0.711"
"33","Unstructured",1,71,"0.409","0.768"
"34","Unstructured",1,81,"0.494","0.847"
"35","Unstructured",1,91,"0.572","0.883"
"36","Unstructured",2,3,"0","0.623"
"37","Unstructured",2,4,"0.045","0.073"
"38","Unstructured",2,5,"0.05","0.043"
"39","Unstructured",2,6,"0.059","0.054"
"40","Unstructured",2,7,"0.058","0.043"
"41","Unstructured",2,8,"0.059","0.056"
"42","Unstructured",2,9,"0.058","0.064"
"43","Unstructured",2,10,"0.06","0.057"
"44","Unstructured",2,11,"0.046","0.047"
"45","Unstructured",2,21,"0.062","0.072"
"46","Unstructured",2,31,"0.078","0.084"
"47","Unstructured",2,41,"0.089","0.118"
"48","Unstructured",2,51,"0.08","0.131"
"49","Unstructured",2,61,"0.098","0.172"
"50","Unstructured",2,71,"0.112","0.224"
"51","Unstructured",2,81,"0.131","0.24"
"52","Unstructured",2,91,"0.127","0.256"
"53","Unstructured",3,3,"0","0.668"
"54","Unstructured",3,4,"0.036","0.06"
"55","Unstructured",3,5,"0.049","0.062"
"56","Unstructured",3,6,"0.051","0.049"
"57","Unstructured",3,7,"0.043","0.042"
"58","Unstructured",3,8,"0.057","0.065"
"59","Unstructured",3,9,"0.057","0.041"
"60","Unstructured",3,10,"0.053","0.045"
"61","Unstructured",3,11,"0.06","0.06"
"62","Unstructured",3,21,"0.047","0.055"
"63","Unstructured",3,31,"0.047","0.051"
"64","Unstructured",3,41,"0.077","0.087"
"65","Unstructured",3,51,"0.066","0.081"
"66","Unstructured",3,61,"0.078","0.087"
"67","Unstructured",3,71,"0.081","0.092"
"68","Unstructured",3,81,"0.084","0.107"
"69","Unstructured",3,91,"0.08","0.122"
"70","Unstructured",4,3,"0","0.635"
"71","Unstructured",4,4,"0.031","0.045"
"72","Unstructured",4,5,"0.06","0.068"
"73","Unstructured",4,6,"0.052","0.054"
"74","Unstructured",4,7,"0.059","0.065"
"75","Unstructured",4,8,"0.054","0.062"
"76","Unstructured",4,9,"0.052","0.048"
"77","Unstructured",4,10,"0.045","0.048"
"78","Unstructured",4,11,"0.052","0.048"
"79","Unstructured",4,21,"0.053","0.047"
"80","Unstructured",4,31,"0.069","0.053"
"81","Unstructured",4,41,"0.058","0.035"
"82","Unstructured",4,51,"0.072","0.068"
"83","Unstructured",4,61,"0.067","0.063"
"84","Unstructured",4,71,"0.059","0.069"
"85","Unstructured",4,81,"0.068","0.08"
"86","Unstructured",4,91,"0.071","0.072"
"87","Unstructured",5,3,"0","0.639"
"88","Unstructured",5,4,"0.046","0.063"
"89","Unstructured",5,5,"0.047","0.066"
"90","Unstructured",5,6,"0.045","0.064"
"91","Unstructured",5,7,"0.048","0.055"
"92","Unstructured",5,8,"0.05","0.06"
"93","Unstructured",5,9,"0.058","0.051"
"94","Unstructured",5,10,"0.065","0.048"
"95","Unstructured",5,11,"0.055","0.046"
"96","Unstructured",5,21,"0.057","0.053"
"97","Unstructured",5,31,"0.055","0.052"
"98","Unstructured",5,41,"0.052","0.05"
"99","Unstructured",5,51,"0.057","0.053"
"100","Unstructured",5,61,"0.046","0.05"
"101","Unstructured",5,71,"0.065","0.065"
"102","Unstructured",5,81,"0.079","0.062"
"103","Unstructured",5,91,"0.059","0.07"
"104","Unstructured",6,3,"0","0.613"
"105","Unstructured",6,4,"0.04","0.06"
"106","Unstructured",6,5,"0.052","0.052"
"107","Unstructured",6,6,"0.046","0.047"
"108","Unstructured",6,7,"0.061","0.066"
"109","Unstructured",6,8,"0.041","0.035"
"110","Unstructured",6,9,"0.053","0.056"
"111","Unstructured",6,10,"0.067","0.067"
"112","Unstructured",6,11,"0.045","0.041"
"113","Unstructured",6,21,"0.057","0.046"
"114","Unstructured",6,31,"0.042","0.037"
"115","Unstructured",6,41,"0.05","0.045"
"116","Unstructured",6,51,"0.039","0.048"
"117","Unstructured",6,61,"0.062","0.052"
"118","Unstructured",6,71,"0.064","0.045"
"119","Unstructured",6,81,"0.05","0.045"
"120","Unstructured",6,91,"0.054","0.048"
"121","Unstructured",7,3,"0","0.646"
"122","Unstructured",7,4,"0.034","0.064"
"123","Unstructured",7,5,"0.057","0.068"
"124","Unstructured",7,6,"0.04","0.059"
"125","Unstructured",7,7,"0.052","0.043"
"126","Unstructured",7,8,"0.062","0.054"
"127","Unstructured",7,9,"0.048","0.059"
"128","Unstructured",7,10,"0.048","0.041"
"129","Unstructured",7,11,"0.049","0.049"
"130","Unstructured",7,21,"0.051","0.046"
"131","Unstructured",7,31,"0.056","0.051"
"132","Unstructured",7,41,"0.055","0.05"
"133","Unstructured",7,51,"0.049","0.058"
"134","Unstructured",7,61,"0.06","0.046"
"135","Unstructured",7,71,"0.051","0.046"
"136","Unstructured",7,81,"0.051","0.054"
"137","Unstructured",7,91,"0.049","0.05"
"138","Unstructured",8,3,"0","0.615"
"139","Unstructured",8,4,"0.045","0.05"
"140","Unstructured",8,5,"0.05","0.068"
"141","Unstructured",8,6,"0.056","0.062"
"142","Unstructured",8,7,"0.057","0.063"
"143","Unstructured",8,8,"0.05","0.04"
"144","Unstructured",8,9,"0.047","0.046"
"145","Unstructured",8,10,"0.05","0.047"
"146","Unstructured",8,11,"0.054","0.048"
"147","Unstructured",8,21,"0.048","0.061"
"148","Unstructured",8,31,"0.062","0.054"
"149","Unstructured",8,41,"0.046","0.047"
"150","Unstructured",8,51,"0.053","0.052"
"151","Unstructured",8,61,"0.061","0.068"
