"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"1","Unstructured",1,5,0.075,0.035
"2","Unstructured",1,6,0.06,0.075
"3","Unstructured",1,7,0.045,0.04
"4","Unstructured",1,8,0.03,0.05
"5","Unstructured",1,9,0.075,0.07
"6","Unstructured",1,10,0.055,0.045
"7","Unstructured",1,11,0.045,0.05
"8","Unstructured",1,21,0.04,0.06
"9","Unstructured",1,31,0.05,0.04
"10","Unstructured",1,41,0.04,0.03
"11","Unstructured",1,51,0.06,0.07
"12","Unstructured",1,61,0.065,0.06
"13","Unstructured",1,71,0.05,0.06
"14","Unstructured",1,81,0.055,0.07
"15","Unstructured",1,91,0.045,0.04
"16","Unstructured",2,5,0.025,0.1
"17","Unstructured",2,6,0.065,0.045
"18","Unstructured",2,7,0.045,0.04
"19","Unstructured",2,8,0.07,0.08
"20","Unstructured",2,9,0.065,0.075
"21","Unstructured",2,10,0.065,0.065
"22","Unstructured",2,11,0.045,0.07
"23","Unstructured",2,21,0.06,0.06
"24","Unstructured",2,31,0.075,0.07
"25","Unstructured",2,41,0.04,0.045
"26","Unstructured",2,51,0.05,0.04
"27","Unstructured",2,61,0.07,0.055
"28","Unstructured",2,71,0.065,0.06
"29","Unstructured",2,81,0.095,0.065
"30","Unstructured",2,91,0.065,0.085
"31","Unstructured",3,5,0.025,0.065
"32","Unstructured",3,6,0.07,0.06
"33","Unstructured",3,7,0.045,0.06
"34","Unstructured",3,8,0.09,0.04
"35","Unstructured",3,9,0.045,0.08
"36","Unstructured",3,10,0.055,0.04
"37","Unstructured",3,11,0.04,0.045
"38","Unstructured",3,21,0.03,0.035
"39","Unstructured",3,31,0.03,0.045
"40","Unstructured",3,41,0.075,0.065
"41","Unstructured",3,51,0.065,0.045
"42","Unstructured",3,61,0.045,0.045
"43","Unstructured",3,71,0.075,0.065
"44","Unstructured",3,81,0.04,0.055
"45","Unstructured",3,91,0.08,0.085
"46","AR(1)",1,5,0.05,0.055
"47","AR(1)",1,6,0.05,0.085
"48","AR(1)",1,7,0.07,0.035
"49","AR(1)",1,8,0.06,0.055
"50","AR(1)",1,9,0.065,0.07
"51","AR(1)",1,10,0.09,0.075
"52","AR(1)",1,11,0.095,0.085
"53","AR(1)",1,21,0.115,0.12
"54","AR(1)",1,31,0.11,0.165
"55","AR(1)",1,41,0.175,0.275
"56","AR(1)",1,51,0.19,0.375
"57","AR(1)",1,61,0.25,0.435
"58","AR(1)",1,71,0.3,0.485
"59","AR(1)",1,81,0.325,0.625
"60","AR(1)",1,91,0.385,0.625
"61","AR(1)",2,5,0.08,0.06
"62","AR(1)",2,6,0.12,0.1
"63","AR(1)",2,7,0.13,0.08
"64","AR(1)",2,8,0.115,0.145
"65","AR(1)",2,9,0.165,0.155
"66","AR(1)",2,10,0.19,0.2
"67","AR(1)",2,11,0.165,0.17
"68","AR(1)",2,21,0.345,0.485
"69","AR(1)",2,31,0.555,0.77
"70","AR(1)",2,41,0.705,0.94
"71","AR(1)",2,51,0.88,0.975
"72","AR(1)",2,61,0.955,1
"73","AR(1)",2,71,0.96,0.995
"74","AR(1)",2,81,1,1
"75","AR(1)",2,91,0.995,1
"76","AR(1)",3,5,0.135,0.06
"77","AR(1)",3,6,0.15,0.155
