"","covariance_structures","effect_sizes","sample_sizes","power_global","power_max"
"1","Unstructured",1,5,0.02,0.09
"2","Unstructured",1,6,0.08,0.05
"3","Unstructured",1,7,0.02,0.04
"4","Unstructured",1,8,0.02,0.11
"5","Unstructured",1,9,0.07,0.08
"6","Unstructured",1,10,0.07,0.09
"7","Unstructured",1,11,0.04,0.01
"8","Unstructured",1,21,0.03,0.05
"9","Unstructured",1,31,0.04,0.05
"10","Unstructured",1,41,0.04,0.07
"11","Unstructured",1,51,0.07,0.05
"12","Unstructured",1,61,0.09,0.09
"13","Unstructured",1,71,0.06,0.02
"14","Unstructured",1,81,0.03,0.05
"15","Unstructured",1,91,0.11,0.01
"16","Unstructured",2,5,0.07,0.08
"17","Unstructured",2,6,0.06,0.08
"18","Unstructured",2,7,0.06,0.04
"19","Unstructured",2,8,0.03,0.07
"20","Unstructured",2,9,0.07,0.04
"21","Unstructured",2,10,0.05,0.07
"22","Unstructured",2,11,0.02,0.05
"23","Unstructured",2,21,0.04,0.04
"24","Unstructured",2,31,0.03,0.04
"25","Unstructured",2,41,0.04,0.06
"26","Unstructured",2,51,0.08,0.07
"27","Unstructured",2,61,0.08,0.1
"28","Unstructured",2,71,0.04,0.04
"29","Unstructured",2,81,0.03,0.04
"30","Unstructured",2,91,0.06,0.1
"31","Unstructured",3,5,0.04,0.09
"32","Unstructured",3,6,0.06,0.04
"33","Unstructured",3,7,0.03,0.08
"34","Unstructured",3,8,0.02,0.05
"35","Unstructured",3,9,0.01,0.06
"36","Unstructured",3,10,0.04,0.06
"37","Unstructured",3,11,0.04,0.06
"38","Unstructured",3,21,0.05,0.1
"39","Unstructured",3,31,0.03,0.02
"40","Unstructured",3,41,0.09,0.09
"41","Unstructured",3,51,0.08,0.09
"42","Unstructured",3,61,0.09,0.05
"43","Unstructured",3,71,0.04,0.01
"44","Unstructured",3,81,0.06,0.08
"45","Unstructured",3,91,0.05,0.04
"46","AR(1)",1,5,0.08,0.09
"47","AR(1)",1,6,0.09,0.13
"48","AR(1)",1,7,0.06,0.08
"49","AR(1)",1,8,0.02,0.06
"50","AR(1)",1,9,0.05,0.02
"51","AR(1)",1,10,0.08,0.08
"52","AR(1)",1,11,0.09,0.12
"53","AR(1)",1,21,0.14,0.11
"54","AR(1)",1,31,0.11,0.2
"55","AR(1)",1,41,0.25,0.27
"56","AR(1)",1,51,0.13,0.39
"57","AR(1)",1,61,0.18,0.41
"58","AR(1)",1,71,0.17,0.35
"59","AR(1)",1,81,0.38,0.54
"60","AR(1)",1,91,0.36,0.65
"61","AR(1)",2,5,0.08,0.08
"62","AR(1)",2,6,0.07,0.08
"63","AR(1)",2,7,0.08,0.11
"64","AR(1)",2,8,0.15,0.08
"65","AR(1)",2,9,0.16,0.14
"66","AR(1)",2,10,0.16,0.13
"67","AR(1)",2,11,0.14,0.21
"68","AR(1)",2,21,0.23,0.49
"69","AR(1)",2,31,0.5,0.78
"70","AR(1)",2,41,0.68,0.91
"71","AR(1)",2,51,0.82,0.96
"72","AR(1)",2,61,0.9,0.99
"73","AR(1)",2,71,0.98,1
"74","AR(1)",2,81,1,1
"75","AR(1)",2,91,1,1
"76","AR(1)",3,5,0.23,0.17
"77","AR(1)",3,6,0.19,0.13
"78","AR(1)",3,7,0.22,0.2
"79","AR(1)",3,8,0.27,0.29
"80","AR(1)",3,9,0.28,0.28
"81","AR(1)",3,10,0.39,0.4
"82","AR(1)",3,11,0.36,0.45
"83","AR(1)",3,21,0.76,0.92
"84","AR(1)",3,31,1,1
"85","AR(1)",3,41,1,1
"86","AR(1)",3,51,1,1
"87","AR(1)",3,61,1,1
"88","AR(1)",3,71,1,1
"89","AR(1)",3,81,1,1
"90","AR(1)",3,91,1,1
"91","AR(2)",1,5,0.09,0.05
"92","AR(2)",1,6,0.08,0.11
"93","AR(2)",1,7,0.05,0.12
"94","AR(2)",1,8,0.06,0.06
"95","AR(2)",1,9,0.08,0.08
"96","AR(2)",1,10,0.11,0.11
"97","AR(2)",1,11,0.12,0.16
"98","AR(2)",1,21,0.11,0.31
"99","AR(2)",1,31,0.19,0.59
"100","AR(2)",1,41,0.27,0.81
"101","AR(2)",1,51,0.42,0.82
"102","AR(2)",1,61,0.52,0.96
"103","AR(2)",1,71,0.67,1
"104","AR(2)",1,81,0.75,1
"105","AR(2)",1,91,0.9,1
"106","AR(2)",2,5,0.15,0.1
"107","AR(2)",2,6,0.2,0.2
"108","AR(2)",2,7,0.19,0.24
"109","AR(2)",2,8,0.29,0.38
"110","AR(2)",2,9,0.29,0.44
"111","AR(2)",2,10,0.36,0.5
"112","AR(2)",2,11,0.31,0.67
"113","AR(2)",2,21,0.85,0.97
"114","AR(2)",2,31,0.96,1
"115","AR(2)",2,41,1,1
"116","AR(2)",2,51,1,1
"117","AR(2)",2,61,1,1
