"","alterative_patterns","sample_sizes","power_global","power_max"
"2","linear",5,0.064,0.056
"3","linear",7,0.1,0.042
"4","linear",9,0.106,0.048
"5","linear",11,0.139,0.075
"6","linear",13,0.124,0.055
"7","linear",15,0.173,0.08
"8","linear",17,0.184,0.096
"9","linear",19,0.191,0.09
"10","linear",21,0.223,0.088
"11","linear",23,0.25,0.093
"12","linear",25,0.306,0.107
"13","linear",27,0.314,0.101
"14","linear",29,0.323,0.122
"15","linear",31,0.354,0.149
"16","linear",33,0.397,0.128
"17","linear",35,0.41,0.135
"18","linear",37,0.461,0.157
"19","linear",39,0.453,0.164
"20","linear",41,0.488,0.192
"21","linear",43,0.48,0.173
"22","linear",45,0.545,0.177
"23","linear",47,0.569,0.199
"24","linear",49,0.596,0.2
"25","linear",51,0.6,0.216
"26","linear",53,0.627,0.212
"27","linear",55,0.652,0.224
"28","linear",57,0.697,0.247
"29","linear",59,0.701,0.252
"30","linear",61,0.733,0.268
"31","linear",63,0.742,0.278
"32","linear",65,0.747,0.259
"33","linear",67,0.779,0.285
"34","linear",69,0.804,0.346
"35","linear",71,0.817,0.315
"36","linear",73,0.809,0.307
"37","linear",75,0.84,0.315
"38","linear",77,0.855,0.357
"39","linear",79,0.875,0.332
"40","linear",81,0.879,0.365
"41","linear",83,0.878,0.36
"42","linear",85,0.89,0.392
"43","linear",87,0.906,0.402
"44","linear",89,0.905,0.374
"45","linear",91,0.929,0.394
"46","linear",93,0.914,0.421
"47","linear",95,0.932,0.437
"48","linear",97,0.937,0.443
"49","linear",99,0.949,0.448
"50","convex",5,1,0.993
"51","convex",7,1,1
"52","convex",9,1,1
"53","convex",11,1,1
"54","convex",13,1,1
"55","convex",15,1,1
"56","convex",17,1,1
"57","convex",19,1,1
"58","convex",21,1,1
"59","convex",23,1,1
"60","convex",25,1,1
"61","convex",27,1,1
"62","convex",29,1,1
"63","convex",31,1,1
"64","convex",33,1,1
"65","convex",35,1,1
"66","convex",37,1,1
"67","convex",39,1,1
"68","convex",41,1,1
"69","convex",43,1,1
"70","convex",45,1,1
"71","convex",47,1,1
"72","convex",49,1,1
"73","convex",51,1,1
"74","convex",53,1,1
"75","convex",55,1,1
"76","convex",57,1,1
"77","convex",59,1,1
"78","convex",61,1,1
"79","convex",63,1,1
"80","convex",65,1,1
"81","convex",67,1,1
"82","convex",69,1,1
"83","convex",71,1,1
"84","convex",73,1,1
"85","convex",75,1,1
"86","convex",77,1,1
"87","convex",79,1,1
"88","convex",81,1,1
"89","convex",83,1,1
"90","convex",85,1,1
"91","convex",87,1,1
"92","convex",89,1,1
"93","convex",91,1,1
"94","convex",93,1,1
"95","convex",95,1,1
"96","convex",97,1,1
"97","convex",99,1,1
"98","concave",5,1,0.992
"99","concave",7,1,1
"100","concave",9,1,1
"101","concave",11,1,1
"102","concave",13,1,1
"103","concave",15,1,1
"104","concave",17,1,1
"105","concave",19,1,1
"106","concave",21,1,1
"107","concave",23,1,1
"108","concave",25,1,1
"109","concave",27,1,1
"110","concave",29,1,1
"111","concave",31,1,1
"112","concave",33,1,1
"113","concave",35,1,1
"114","concave",37,1,1
"115","concave",39,1,1
"116","concave",41,1,1
"117","concave",43,1,1
"118","concave",45,1,1
"119","concave",47,1,1
"120","concave",49,1,1
"121","concave",51,1,1
"122","concave",53,1,1
"123","concave",55,1,1
"124","concave",57,1,1
"125","concave",59,1,1
"126","concave",61,1,1
"127","concave",63,1,1
"128","concave",65,1,1
"129","concave",67,1,1
"130","concave",69,1,1
"131","concave",71,1,1
"132","concave",73,1,1
"133","concave",75,1,1
"134","concave",77,1,1
"135","concave",79,1,1
"136","concave",81,1,1
"137","concave",83,1,1
"138","concave",85,1,1
"139","concave",87,1,1
"140","concave",89,1,1
"141","concave",91,1,1
"142","concave",93,1,1
"143","concave",95,1,1
"144","concave",97,1,1
"145","concave",99,1,1
