"","sample_size","MCTPWB1_power","MCTPWB2_power"
"1",3,0.7,0.69
"2",13,0.05,0.04
"3",23,0.07,0.06
"4",33,0.06,0.05
"5",43,0.05,0.06
"6",53,0.05,0.06
"7",63,0.03,0.03
"8",73,0.05,0.09
"9",83,0.1,0.12
"10",93,0.11,0.09
"11",103,0.07,0.05
"12",113,0.06,0.07
"13",123,0.09,0.1
"14",133,0.14,0.11
"15",143,0.1,0.09
"16",153,0.08,0.09
"17",163,0.06,0.06
"18",173,0.06,0.07
"19",183,0.09,0.1
"20",193,0.12,0.13
"21",203,0.19,0.2
"22",213,0.11,0.08
"23",223,0.11,0.09
"24",233,0.11,0.11
"25",243,0.15,0.18
"26",253,0.13,0.13
"27",263,0.06,0.06
"28",273,0.16,0.17
"29",283,0.1,0.12
"30",293,0.16,0.17
"31",303,0.17,0.17
"32",313,0.15,0.16
"33",323,0.2,0.21
"34",333,0.19,0.22
"35",343,0.21,0.2
"36",353,0.14,0.14
"37",363,0.21,0.18
"38",373,0.2,0.2
"39",383,0.24,0.24
"40",393,0.27,0.27
"41",403,0.3,0.31
"42",413,0.24,0.27
"43",423,0.27,0.27
"44",433,0.19,0.19
"45",443,0.22,0.28
"46",453,0.28,0.26
"47",463,0.21,0.22
"48",473,0.25,0.24
"49",483,0.28,0.26
"50",493,0.19,0.21
"51",503,0.18,0.19
"52",513,0.28,0.27
"53",523,0.22,0.23
"54",533,0.22,0.22
"55",543,0.28,0.31
"56",553,0.3,0.28
"57",563,0.27,0.29
"58",573,0.28,0.3
"59",583,0.36,0.35
"60",593,0.38,0.37
"61",603,0.33,0.33
"62",613,0.31,0.3
"63",623,0.38,0.35
"64",633,0.33,0.31
"65",643,0.36,0.36
"66",653,0.33,0.36
"67",663,0.41,0.41
"68",673,0.3,0.3
"69",683,0.39,0.43
"70",693,0.41,0.39
"71",703,0.46,0.41
"72",713,0.34,0.34
"73",723,0.39,0.4
"74",733,0.41,0.4
"75",743,0.42,0.41
"76",753,0.43,0.47
"77",763,0.39,0.36
"78",773,0.5,0.54
"79",783,0.56,0.57
"80",793,0.43,0.45
"81",803,0.42,0.42
"82",813,0.5,0.52
"83",823,0.48,0.46
"84",833,0.57,0.57
"85",843,0.55,0.52
"86",853,0.5,0.45
"87",863,0.43,0.42
"88",873,0.45,0.49
"89",883,0.6,0.58
"90",893,0.53,0.53
"91",903,0.46,0.52
"92",913,0.44,0.42
"93",923,0.52,0.51
"94",933,0.55,0.59
"95",943,0.56,0.59
"96",953,0.51,0.54
"97",963,0.52,0.53
"98",973,0.54,0.54
"99",983,0.59,0.6
"100",993,0.59,0.6
"101",1003,0.59,0.59
"102",1013,0.61,0.59
"103",1023,0.65,0.6
"104",1033,0.62,0.62
"105",1043,0.65,0.64
"106",1053,0.58,0.55
"107",1063,0.55,0.55
"108",1073,0.58,0.62
"109",1083,0.69,0.68
"110",1093,0.63,0.59
"111",1103,0.6,0.59
"112",1113,0.69,0.68
